name,sym,blockchain,address
ADA Fireblocks Parent,ADA,Cardano,addr1q9zrp5puzh68f6cr6fch4aayzk9edguaf502na9edhc00tw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q3uv0cp
ADA Fireblocks Parent,ADA,Cardano,addr1q85jatcayqhjk8er2hp7djx672wmqkvr5p05njrpptwmqs77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q8u35az
ADA Fireblocks Parent,ADA,Cardano,addr1qya88dwvqylqdjdmdfpd4zmt7l3r5yynq39l2n6q3ztrhtx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qxjlyfk
ADA Fireblocks Parent,ADA,Cardano,addr1qyg8nxmuc2k8ecvmp976hk4tzx972a0lqhyxhszxvtfsk077fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q2xhzz7
ADA Fireblocks Parent,ADA,Cardano,addr1qy73uldans383ypkgk9tsl4lw5p83jfatlvl7ed5nce0z4w7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qswdlyk
ADA Fireblocks Parent,ADA,Cardano,addr1qy83tnkr8nu77w5j97j58hmmxtggk2f5t8aa9khjdcg92dx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qxgzdyz
ADA Fireblocks OTC,ADA,Cardano,addr1q95839wucc5mwcjqz3r3v9cjrry5x4hv085gea3plq8a9f9l8wxumhsc8qvl7w544cy8kz0vf4gklnsah6st06n0hcfs04mzy3
ADA Fireblocks USA,ADA,Cardano,addr1q872xzgm4dr8ta2nwv78jzfmt8cde4v37y2e6tuu8vz6lwjksd9hxhrcl5mff7q3kn4g423dakdtjl5dm0c5qxz7puzs4ttqr3
ADA Fireblocks Parent,ADA,Cardano,addr1q9pnnxgvyxjnjudsugpewj32m3ur22p436zzw7q6zf7urjx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qw2jxwe
ADA Fireblocks Parent,ADA,Cardano,addr1qye0kcjn9gncnz78e3fgar235yexknh7hymjwq4fclndnfx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qhlujqw
ADA Fireblocks Parent,ADA,Cardano,addr1q8n62gx2wyaa29v8jqy9w3tdzrzxakuvt5pw7xrvjdvy26w7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qy57f3n
ADA Fireblocks Parent,ADA,Cardano,addr1qyum9f2cr7hsmuk45jj25p5tpn0a3p2r2r6zwr9ggufncpw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qltut38
ADA Fireblocks Parent,ADA,Cardano,addr1q9ecu654ketvzcxqf3aha5sp78ggjqh2nxkk6ppmvvwyjjk7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qgdv9wv
ADA Fireblocks Parent,ADA,Cardano,addr1qypx05k96xdxaurt44e5qkcuz2nadqmhh0ashahzk080dpx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q3rll0c
ADA Fireblocks Parent,ADA,Cardano,addr1qyc7j8j7d4eglsyj8kh559njd56vhfjqdn066l8hx4zlpsw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qve23zh
ADA Fireblocks Parent,ADA,Cardano,addr1qyrvhz4847zqesnh53xsrf53wea9nwswl0aaah480qhysnk7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qd8eu4k
ADA Fireblocks Parent,ADA,Cardano,addr1qyp54khk742ja0feg3hnshqsgv9u5nzwzykpmfkyk8qkwhw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qtzq2u0
ADA Fireblocks Parent,ADA,Cardano,addr1qy7klaxvx7s9q4s7dn6rlqkkjf2w6u8tzzwvykn9en8nu677fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qfr4dzw
ADA Fireblocks Parent,ADA,Cardano,addr1q9d2s527jxqyw6l7f8ttdy9ka2qp5d6uheajctj0gfmtflk7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qea6lx2
ADA Fireblocks Parent,ADA,Cardano,addr1qy6amwpmj5f4szrf0zhw0rvnj8jyz9659uvq2khrmg78jzx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q7ce3fz
ADA Fireblocks Parent,ADA,Cardano,addr1qy4s4e5n9jsusxptx9hpmfdjj3640kagddglat4v4sllmj77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qvgysqu
ADA Fireblocks Parent,ADA,Cardano,addr1qx4q6fjjmc8j353jj2vda0j55nv78t83kphs560y8f4q9wk7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qj0je83
ADA Fireblocks Parent,ADA,Cardano,addr1q9s2vp7d84xhutlvwherd0d93yzxess70x7g5xcuu5tuz2k7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qrgufw5
ADA Fireblocks Parent,ADA,Cardano,addr1qy342cmtxt3hp7fre03kpmhar9yaqv0pn4fvtcnnw9un0v77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qg6e880
ADA Fireblocks Parent,ADA,Cardano,addr1q8quutm2as2j6n040jnve2tatyj35h8wvefh2r2e9mzg4sw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q7pn570
ADA Fireblocks Parent,ADA,Cardano,addr1qxycyahr8jrvwwmk6suxvh6vc9x5pg7dlpp4cra4h7pkwlx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q68ts9m
ADA Fireblocks Parent,ADA,Cardano,addr1q9kks88uh0pg6hn3n5j33tflsw6wvan27x693sh877vy0l77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qsudc34
ADA Fireblocks Parent,ADA,Cardano,addr1qx334uune89md8qv3tpg448yx2tnzvuprls9qds2xq80nnk7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qmpxeze
ADA Fireblocks Parent,ADA,Cardano,addr1q9m8ay8hwdskezywmk9z7al882rz8x8hcd79wvhfc9h87gx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qqeg5gl
ADA Fireblocks Parent,ADA,Cardano,addr1q8vyynfd6s03778wzjxxhm4vh3mh8yefyvxa0ghzr95w3gk7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q3uz2z8
ADA Fireblocks Parent,ADA,Cardano,addr1q8x72gy3kx7kq2f7g8e6mgxj303g5qgum9ap746n9kmfs5w7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qxx8j2v
ADA Fireblocks Parent,ADA,Cardano,addr1q80ng43gumegujakqyqrfundwk3krdls3krjx8xuy9dl4nw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qtyxlsp
ADA Fireblocks Parent,ADA,Cardano,addr1q95p8c0ucn0xw6lk39k7lee54zy4xhggc22wdfdflm7prf77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q4xfkwu
ADA Fireblocks Parent,ADA,Cardano,addr1q9t3deu2dxwcs65uj7fw0x96r7j6zvgaaunam9vr8a4s07x7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qnw63vv
ADA Fireblocks Parent,ADA,Cardano,addr1qxcvcdg4zv40n0xju5ecy86tp740knq5e7zcnmlksu6ddpw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q5uzv87
ADA Fireblocks Parent,ADA,Cardano,addr1qx6txxvuunpwehwa9spm6hm5q02m3aqwa9kfj8masew3jlw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q7eg662
ADA Fireblocks Parent,ADA,Cardano,addr1q9fxw3qzd6z64xd6ck7xpz43m6cw3jlhdfeeqzg4j4jg0zx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qks477d
ADA Fireblocks Parent,ADA,Cardano,addr1qylxvv0k4vfqghd0u0tgy6v3ddnsvd0e9kc40cv0wle64r77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qnrrwhd
ADA Fireblocks Parent,ADA,Cardano,addr1qxuknl0y5wa6px0n5jk22nx7xps06y4r0sp3skrt084p7s77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q6l5vu2
ADA Fireblocks Parent,ADA,Cardano,addr1qyy56v59urkf7dd54grsrhqh5ffe566l8egvrne00537yjw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qjqvg6m
ADA Fireblocks Parent,ADA,Cardano,addr1q96m2hmmpd5uzj7ly3pl7ryd99zc58zmafr89ph29j7774k7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qkk2w7q
ADA Fireblocks Parent,ADA,Cardano,addr1q93ntpgqxjs8ddvz0ry7wvdhep3a6s24lpt9u2w075dquwx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qz0yn2u
ADA Fireblocks Parent,ADA,Cardano,addr1qyg2s2ek0x9xzjqukndwv9nmq4lu54rz8jrrkvlxe2j2w3w7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qs9e222
ADA Fireblocks Parent,ADA,Cardano,addr1qy4f50kan5ypca0exjkmhutcy4j72g7f8yrjaeju5p955vw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qnnajxg
ADA Fireblocks Parent,ADA,Cardano,addr1qxvykyu5ylgtf2a65jwsvdysf279a28d3ht7wnpxyweqcex7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qva409m
ADA Fireblocks Parent,ADA,Cardano,addr1q8326h9l57x9zkc030htptdrha53s2ffq5f9ud069swmcgk7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qm305f5
ADA Fireblocks Parent,ADA,Cardano,addr1qyc7gaa84t2259fecdywqq7uyq5mc0vc5klgduz8fcgpd5x7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qsanjm9
ADA Fireblocks Parent,ADA,Cardano,addr1q85uxmlf4e4r7crfxsgmvcqgfya4pjx5yeclp50l6a6n9q77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qhzjqpj
ADA Fireblocks Parent,ADA,Cardano,addr1q9rugx54atsas9mds4ca4xdwaxvzjcfwa5cm0tmak3lskkx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qgzxxsk
ADA Fireblocks Parent,ADA,Cardano,addr1q8uypa779mhxhjmu2y78rlppme9guhwwjkycqvns3k8jmkx7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q9mlazp
ADA Fireblocks Parent,ADA,Cardano,addr1q8w86w22pk5rmzrsufgfpsqppltj5xcdphag3svyl6jn56w7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qjctm6z
ADA Fireblocks Parent,ADA,Cardano,addr1q8tfue866r7h0w8cvht3uumwhmryqfwsgv3sq26ja2cauj77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qv0pkfe
ADA Fireblocks Parent,ADA,Cardano,addr1q8mdrkepg5ey7v4aanelc9al8gmf4mmyhrfeedpx0wq86uw7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q6h7yk0
ADA Fireblocks Parent,ADA,Cardano,addr1qx7yqz47wnzzw9u0505hhfhpu2yejgpwphmfn2m4edzg03k7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qghlkpf
ADA Fireblocks Parent,ADA,Cardano,addr1q9pnn4c7gtxsr9n0meaug8c3nwwn9exs82t3y2wrw9ht49k7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qdtrvql
ADA Fireblocks Parent,ADA,Cardano,addr1qxgfdwmqlkvk8mpax6n0379294qkgaysgn9vypma4wrhs9w7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qx47a6v
ADA Fireblocks Parent,ADA,Cardano,addr1q9l3xj6vmss2ae5nmu8tqqekyz2vjhw8vjnnnqt7rpaj8f77fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4q78qc3s
ADA Fireblocks Parent,ADA,Cardano,addr1qy80cvrp24u4mmj8nl5hah6erjqa5du7vx30azstd97pjck7fxdtuqk56k5aueh6yu2qz6gm56wj8ttyhnyrw9e8fh4qqatra4
